Date,Open,High,Low,Close,Adj Close,Volume
2019-08-30,85.699997,85.989998,84.410004,84.500000,82.232254,5235400
2019-09-03,84.000000,84.830002,83.620003,84.669998,82.397667,6360800
2019-09-04,85.580002,86.500000,85.500000,86.349998,84.032593,4151200
2019-09-05,87.279999,88.620003,87.279999,88.419998,86.047050,6328400
2019-09-06,88.400002,88.980003,88.019997,88.690002,86.309792,3625300
2019-09-09,88.940002,89.349998,88.419998,88.669998,86.290344,4282400
2019-09-10,88.260002,88.629997,86.290001,86.830002,84.499725,7072400
2019-09-11,86.959999,87.250000,85.870003,86.750000,84.421867,4623300
2019-09-12,87.099998,88.070000,86.220001,87.669998,85.317169,4057500
2019-09-13,88.250000,88.790001,87.300003,87.320000,84.976570,5894700
2019-09-16,87.089996,87.820000,86.669998,87.269997,84.927910,4171700
2019-09-17,86.769997,87.639999,86.470001,87.589996,85.239326,3248400
2019-09-18,87.650002,88.400002,87.209999,88.080002,85.716179,4722200
2019-09-19,88.400002,88.720001,87.510002,87.699997,85.346359,4231200
2019-09-20,88.000000,88.489998,86.669998,86.680000,84.353737,6991100
2019-09-23,86.980003,88.019997,86.800003,87.690002,85.336639,4790000
2019-09-24,88.449997,88.690002,86.760002,87.180000,84.840324,10202900
2019-09-25,91.779999,92.790001,90.150002,90.809998,88.372902,25330700
2019-09-26,91.620003,92.449997,90.250000,92.169998,89.696404,10408300
2019-09-27,91.849998,92.860001,91.599998,92.309998,89.832657,6420500
2019-09-30,92.529999,94.080002,92.500000,93.919998,91.399429,7401200
2019-10-01,94.129997,94.750000,92.059998,92.279999,89.803444,8464900
2019-10-02,91.470001,91.839996,90.570000,91.489998,89.034660,6933900
2019-10-03,91.309998,92.320000,90.349998,92.220001,89.745056,5762300
2019-10-04,92.220001,93.169998,91.930000,93.070000,90.572250,4551400
2019-10-07,92.500000,93.919998,92.400002,93.169998,90.669563,4975400
2019-10-08,90.449997,92.709999,90.410004,91.750000,89.287689,6916800
2019-10-09,92.410004,93.050003,91.820000,92.519997,90.037010,5115900
2019-10-10,93.500000,93.500000,92.720001,93.000000,90.504135,5794100
2019-10-11,94.000000,94.570000,93.559998,93.879997,91.360504,6220100
2019-10-14,94.199997,95.250000,94.050003,94.879997,92.333672,4636000
2019-10-15,95.000000,95.180000,94.120003,94.790001,92.246094,4292500
2019-10-16,94.089996,95.139999,94.070000,94.879997,92.333672,4883300
2019-10-17,95.570000,95.889999,94.970001,95.559998,92.995430,3427400
2019-10-18,94.809998,96.459999,94.800003,96.099998,93.520927,6209200
2019-10-21,96.610001,96.870003,95.419998,96.220001,93.637711,5185800
2019-10-22,96.059998,96.830002,95.519997,95.599998,93.034355,5470100
2019-10-23,95.029999,95.540001,92.120003,92.320000,89.842392,11933600
2019-10-24,92.680000,92.870003,90.989998,91.500000,89.044388,12085800
2019-10-25,91.440002,91.830002,90.750000,90.919998,88.479958,8147200
2019-10-28,91.059998,91.300003,90.169998,90.849998,88.411835,10304700
2019-10-29,90.849998,90.919998,89.129997,89.279999,86.883965,9044700
2019-10-30,89.449997,90.269997,89.349998,90.190002,87.769547,8127500
2019-10-31,90.000000,90.410004,88.940002,89.550003,87.146721,6752000
2019-11-01,90.180000,90.529999,89.000000,89.180000,86.786644,5263600
2019-11-04,90.129997,90.559998,89.320000,89.860001,87.448402,8161200
2019-11-05,90.150002,90.339996,89.540001,89.879997,87.467873,5589700
2019-11-06,90.639999,90.720001,88.739998,89.480003,87.078583,7033800
2019-11-07,90.470001,90.599998,89.769997,90.400002,87.973900,7110000
2019-11-08,90.279999,90.349998,89.290001,89.809998,87.399742,4555400
2019-11-11,89.370003,90.099998,89.370003,90.050003,87.633301,3247300
2019-11-12,90.309998,92.029999,89.489998,89.500000,87.098061,3979600
2019-11-13,89.730003,91.550003,89.570000,91.290001,88.840034,5923600
2019-11-14,91.489998,91.959999,90.720001,91.269997,88.820557,6035300
2019-11-15,92.139999,93.559998,91.959999,93.040001,90.543060,6785500
2019-11-18,93.500000,94.260002,92.910004,94.180000,91.652466,6165600
2019-11-19,94.610001,95.120003,93.059998,93.610001,91.097755,5368400
2019-11-20,94.110001,94.400002,92.769997,93.050003,90.552795,6235400
2019-11-21,92.620003,93.300003,92.070000,92.160004,89.686676,5493100
2019-11-22,92.209999,93.349998,91.930000,93.339996,90.834999,4264400
2019-11-25,93.779999,93.970001,92.739998,92.900002,90.406822,5419700
2019-11-26,93.379997,93.629997,93.019997,93.330002,90.825279,5907400
2019-11-27,93.500000,94.379997,93.500000,94.139999,91.613525,4017400
2019-11-29,94.370003,94.610001,93.389999,93.489998,91.218376,2541800
2019-12-02,94.089996,94.279999,92.980003,93.559998,91.286667,3892000
2019-12-03,92.480003,92.550003,91.309998,92.459999,90.213394,5570700
2019-12-04,92.809998,93.790001,92.730003,93.720001,91.442780,4456400
2019-12-05,95.879997,95.949997,94.680000,95.790001,93.462486,6946000
2019-12-06,96.559998,97.309998,96.379997,97.000000,94.643089,6368500
2019-12-09,97.019997,97.629997,96.160004,96.629997,94.282082,6517800
2019-12-10,96.760002,97.589996,96.629997,97.010002,94.652840,4234300
2019-12-11,96.900002,97.320000,96.650002,97.180000,94.818726,4319700
2019-12-12,97.320000,98.180000,96.900002,97.720001,95.345589,4762800
2019-12-13,97.430000,98.290001,96.910004,97.769997,95.394371,5247600
2019-12-16,98.139999,99.339996,98.059998,98.809998,96.409111,8211300
2019-12-17,99.379997,100.169998,99.050003,99.650002,97.228714,7050700
2019-12-18,100.199997,100.790001,99.580002,100.570000,98.126335,7332000
2019-12-19,100.500000,101.269997,99.629997,101.150002,98.692268,12214500
2019-12-20,101.000000,101.400002,98.849998,99.959999,97.531166,17641600
2019-12-23,100.230003,100.690002,99.550003,100.040001,97.609230,6350500
2019-12-24,99.830002,100.660004,99.760002,100.139999,97.706795,3328100
2019-12-26,100.339996,100.750000,100.110001,100.709999,98.262955,3709900
2019-12-27,101.000000,101.790001,100.989998,101.570000,99.102051,5307500
2019-12-30,101.540001,101.610001,100.459999,100.800003,98.350769,3495200
2019-12-31,100.580002,101.389999,100.510002,101.309998,98.848373,3213600
